pais,nombre,puntos,precio,provincia,region_1,region_2,variedad,vina,titulo_resena
Estados Unidos,Reserve,89,47.0,California,Napa Valley,Napa,Chardonnay,V. Sattui,V. Sattui 2013 Reserve Chardonnay (Napa Valley)
Estados Unidos,Vittoria,90,55.0,California,Sonoma Valley,Sonoma,Pinot Grigio,Viansa,Viansa 2007 Vittoria Pinot Grigio (Sonoma Valley)
Portugal,Meia Encosta,84,8.0,Dão,,,Portuguese White,Borges,Borges 2011 Meia Encosta White (Dão)
Alemania,Erdener Prälat Goldkap Auslese,92,55.0,Mosel,,,Riesling,Dr. Hermann,Dr. Hermann 2012 Erdener Prälat Goldkap Auslese Riesling (Mosel)
Francia,Tradition,87,17.0,Southwest France,Cahors,,Malbec-Merlot,Château de Gaudou,Château de Gaudou 2015 Tradition Malbec-Merlot (Cahors)
Francia,Le Rosé de Floridène,88,18.0,Bordeaux,Bordeaux Rosé,,Rosé,Château Reynon,Château Reynon 2016 Le Rosé de Floridène Rosé (Bordeaux Rosé)
Estados Unidos,Reserve,93,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Herencia,Herencia 2013 Reserve Cabernet Sauvignon (Napa Valley)
Italia,Fioranello Bianco,88,25.0,Italy Other,Vino da Tavola,,Ensamblaje Blanco,Tenuta di Fiorano,Tenuta di Fiorano 2011 Fioranello Bianco White (Vino da Tavola)
Portugal,Esporão Reserva Branco,90,20.0,Alentejo,,,Portuguese White,Herdade do Esporão,Herdade do Esporão 2015 Esporão Reserva Branco White (Alentejo)
Estados Unidos,Olivet Lane Vineyard,91,75.0,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem,Williams Selyem 2009 Olivet Lane Vineyard Pinot Noir (Russian River Valley)
Estados Unidos,Odyssey Reserve,85,26.0,California,North Coast,North Coast,Ensamblaje Tinto,Pat Paulsen Vineyards,Pat Paulsen Vineyards 2009 Odyssey Reserve Red (North Coast)
Nueva Zelanda,The Gimblett Gimblett Gravels,91,35.0,Hawke's Bay,,,Bordeaux-style Red Blend,Trinity Hill,Trinity Hill 2010 The Gimblett Gimblett Gravels Red (Hawke's Bay)
Estados Unidos,,85,15.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Gris,Mercer,Mercer 2007 Pinot Gris (Columbia Valley (WA))
Estados Unidos,,92,40.0,California,Napa Valley,Napa,Merlot,Frazier,Frazier 2005 Merlot (Napa Valley)
Estados Unidos,Henry Ayrton's Block Rapley Trail Vineyard,88,85.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Thomas Fogarty,Thomas Fogarty 2012 Henry Ayrton's Block Rapley Trail Vineyard Pinot Noir (Santa Cruz Mountains)
Estados Unidos,Crain Hill Vineyard,85,25.0,Michigan,Leelanau Peninsula,,Rosé,Brengman Brothers,Brengman Brothers 2014 Crain Hill Vineyard Rosé (Leelanau Peninsula)
Alemania,Kiedrich Gräfenberg Trockenbeerenauslese,95,775.0,Rheingau,,,Riesling,Robert Weil,Robert Weil 2013 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau)
Estados Unidos,Naughty Little Hillsides Estate,90,25.0,California,Sta. Rita Hills,Central Coast,Pinot Gris,Babcock,Babcock 2013 Naughty Little Hillsides Estate Pinot Gris (Sta. Rita Hills)
Estados Unidos,En Chamberlin Vineyard,96,80.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Cayuse,Cayuse 2010 En Chamberlin Vineyard Syrah (Walla Walla Valley (WA))
Sudáfrica,Citrus Grove,88,14.0,Región Costera,,,Chenin Blanc,Bellingham,Bellingham 2015 Citrus Grove Chenin Blanc (Coastal Region)
Estados Unidos,Obelisco Vineyard,86,40.0,Washington,Red Mountain,Columbia Valley,Malbec,Barrage Cellars,Barrage Cellars 2010 Obelisco Vineyard Malbec (Red Mountain)
Argentina,Icon,88,20.0,Mendoza,Mendoza,,Malbec,Rubus,Rubus 2014 Icon Malbec (Mendoza)
Italia,Dry,88,35.0,Veneto,Valdobbiadene Superiore di Cartizze,,Glera,Marsuret,Marsuret NV Dry  (Valdobbiadene Superiore di Cartizze)
Estados Unidos,Dutton Ranch Dutton Palms Vineyard,89,42.0,California,Russian River Valley,Sonoma,Chardonnay,Dutton Estate,Dutton Estate 2006 Dutton Ranch Dutton Palms Vineyard Chardonnay (Russian River Valley)
Alemania,Halbtrocken,85,25.0,Württemberg,,,Muskateller,Grafen Neipperg,Grafen Neipperg 2014 Halbtrocken Muskateller (Württemberg)
Estados Unidos,Estate Grown,84,24.0,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Petroni,Petroni 2010 Estate Grown Sauvignon Blanc (Sonoma Valley)
Estados Unidos,,91,40.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Cadaretta,Cadaretta 2007 Cabernet Sauvignon (Columbia Valley (WA))
Estados Unidos,Wyeast Vineyard,89,42.0,Oregon,Columbia Gorge (OR),Oregon Other,Pinot Noir,Sineann,Sineann 2006 Wyeast Vineyard Pinot Noir (Columbia Gorge (OR))
Portugal,Monte Alentejano Branco,82,8.0,Alentejano,,,Portuguese White,DFJ Vinhos,DFJ Vinhos 2007 Monte Alentejano Branco White (Alentejano)
Estados Unidos,Cherokee Lane,84,11.0,California,Lodi,Central Valley,Cabernet Sauvignon,Tortoise Creek,Tortoise Creek 2010 Cherokee Lane Cabernet Sauvignon (Lodi)
Francia,Brut,88,40.0,Champagne,Champagne,,Champagne Ensamblaje,Henri Abelé,Henri Abelé NV Brut  (Champagne)
Argentina,,88,14.0,Otra,Cafayate,,Torrontés,Nieto Senetiner,Nieto Senetiner 2015 Torrontés (Cafayate)
Estados Unidos,Signature Reserve,87,52.0,California,South Coast,South Coast,Syrah,Hawk Watch Winery,Hawk Watch Winery 2011 Signature Reserve Syrah (South Coast)
España,Baltos,92,16.0,Northern Spain,Bierzo,,Mencía,Dominio de Tares,Dominio de Tares 2015 Baltos Mencía (Bierzo)
Estados Unidos,Small Lot Reserve,85,,California,Monterey,Central Coast,Pinot Noir,Irony,Irony 2014 Small Lot Reserve Pinot Noir (Monterey)
Estados Unidos,Lone Oak Vineyard,89,40.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Lucienne,Lucienne 2014 Lone Oak Vineyard Chardonnay (Santa Lucia Highlands)
Estados Unidos,,88,48.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Nagy,Nagy 2012 Pinot Noir (Santa Maria Valley)
Sudáfrica,DMZ,88,18.0,Western Cape,,,Sauvignon Blanc,DeMorgenzon,DeMorgenzon 2015 DMZ Sauvignon Blanc (Western Cape)
Portugal,Vintage,92,,Port,,,Port,Quinta do Crasto,Quinta do Crasto 2011 Vintage  (Port)
Estados Unidos,,89,35.0,California,Russian River Valley,Sonoma,Pinot Noir,Amici,Amici 2014 Pinot Noir (Russian River Valley)
Estados Unidos,,89,35.0,California,Russian River Valley,Sonoma,Pinot Noir,White Oak,White Oak 2013 Pinot Noir (Russian River Valley)
Portugal,Monte de Carrapatelo Colheita Seleccionada Tinto,92,30.0,Alentejano,,,Portuguese Red,Luis Duarte,Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano)
Francia,Kritt,88,28.0,Alsace,Alsace,,Riesling,Domaine Gresser,Domaine Gresser 2014 Kritt Riesling (Alsace)
Estados Unidos,,84,11.0,California,California,California Other,Merlot,Snapping Turtle,Snapping Turtle 2010 Merlot (California)
Francia,La Vigne de l'Oubli,90,22.0,Southwest France,Gaillac,,Ensamblaje Blanco,Domaine d'Escausses,Domaine d'Escausses 2012 La Vigne de l'Oubli White (Gaillac)
Estados Unidos,Korte Ranch Vineyard,92,37.0,California,St. Helena,Napa,Zinfandel,Elyse,Elyse 2012 Korte Ranch Vineyard Zinfandel (St. Helena)
Estados Unidos,,84,16.0,California,Sonoma County,Sonoma,Cabernet Sauvignon,Kenwood,Kenwood 2008 Cabernet Sauvignon (Sonoma County)
Estados Unidos,,86,14.0,New York,Finger Lakes,Finger Lakes,Grüner Veltliner,Fulkerson,Fulkerson 2013 Grüner Veltliner (Finger Lakes)
Estados Unidos,Escolle Road Vineyard,92,35.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Landmark,Landmark 2013 Escolle Road Vineyard Pinot Noir (Santa Lucia Highlands)
Francia,,93,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Providence,Château Providence 2012  Pomerol
España,See Red,82,10.0,España Central,Vino de la Tierra de Castilla,,Tempranillo-Shiraz,Tempra Tantrum,Tempra Tantrum 2006 See Red Tempranillo-Shiraz (Vino de la Tierra de Castilla)
Estados Unidos,Cuvée Blanc,89,24.0,California,St. Helena,Napa,Sauvignon Blanc,Charnu,Charnu 2009 Cuvée Blanc Sauvignon Blanc (St. Helena)
Estados Unidos,,89,28.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Tamarack Cellars,Tamarack Cellars 2000 Merlot (Columbia Valley (WA))
Italia,Marta Galli,90,130.0,Veneto,Amarone della Valpolicella Classico,,Ensamblaje Tinto,Le Ragose,Le Ragose 2007 Marta Galli  (Amarone della Valpolicella Classico)
Estados Unidos,,88,18.0,California,Napa Valley,Napa,Sauvignon Blanc,Markham,Markham 2013 Sauvignon Blanc (Napa Valley)
Georgia,Kondoli Single Vineyard,90,18.0,Kakheti,,,Saperavi,Marani,Marani 2013 Kondoli Single Vineyard Saperavi (Kakheti)
Francia,Cuvée des Moines Extra Brut,91,60.0,Champagne,Champagne,,Champagne Ensamblaje,Besserat de Bellefon,Besserat de Bellefon NV Cuvée des Moines Extra Brut  (Champagne)
Estados Unidos,Zingy,90,22.0,California,Central Coast,,Sauvignon Blanc,Buttonwood,Buttonwood 2016 Zingy Sauvignon Blanc
Estados Unidos,Lot 101,83,10.0,California,Russian River Valley,Sonoma,Chardonnay,Cameron Hughes,Cameron Hughes 2007 Lot 101 Chardonnay (Russian River Valley)
Estados Unidos,Vin Doux Naturel,87,20.0,California,Shenandoah Valley (CA),Sierra Foothills,Muscat Blanc à Petits Grains,Terre Rouge,Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA))
Italia,Spanna Bernardo Vallana,89,18.0,Piedmont,Colline Novaresi,,Nebbiolo,Vallana,Vallana 2013 Spanna Bernardo Vallana Nebbiolo (Colline Novaresi)
Italia,Asili Riserva,94,58.0,Piedmont,Barbaresco,,Nebbiolo,Produttori del Barbaresco,Produttori del Barbaresco 2011 Asili Riserva  (Barbaresco)
Estados Unidos,,88,34.0,California,Dry Creek Valley,Sonoma,Roussanne-Viognier,Quivira,Quivira 2014 Roussanne-Viognier (Dry Creek Valley)
Chile,Natura,86,11.0,Valle de Rapel,,,Syrah,Emiliana,Emiliana 2009 Natura Syrah (Rapel Valley)
España,Aria Estate Extra Dry,84,12.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas,Segura Viudas NV Aria Estate Extra Dry Sparkling (Cava)
Estados Unidos,Melville Vineyard,89,62.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Foxen,Foxen 2011 Melville Vineyard Pinot Noir (Sta. Rita Hills)
Estados Unidos,Estate Franc 'n' Franc,87,25.0,Michigan,Leelanau Peninsula,,Ensamblaje Tinto,Shady Lane,Shady Lane 2012 Estate Franc 'n' Franc Red (Leelanau Peninsula)
Francia,,89,20.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Lamothe-Bergeron,Château Lamothe-Bergeron 2012  Haut-Médoc
Francia,En Pressins,89,,Beaujolais,Saint-Amour,,Gamay,Gaël Martin,Gaël Martin 2009 En Pressins  (Saint-Amour)
Estados Unidos,Synergy,91,42.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Kessler-Haak,Kessler-Haak 2013 Synergy Pinot Noir (Sta. Rita Hills)
Francia,Aux Serpentières Premier Cru,92,50.0,Burgundy,Savigny-lès-Beaune,,Pinot Noir,Domaine Pierre Guillemot,Domaine Pierre Guillemot 2014 Aux Serpentières Premier Cru  (Savigny-lès-Beaune)
Estados Unidos,,91,40.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Alma Rosa,Alma Rosa 2013 Pinot Noir (Sta. Rita Hills)
Argentina,505,82,12.0,Mendoza,Mendoza,,Chardonnay,Casarena,Casarena 2014 505 Chardonnay (Mendoza)
Alemania,Feinherb,91,22.0,Rheinhessen,,,Riesling,Thörle,Thörle 2016 Feinherb Riesling (Rheinhessen)
Alemania,,86,9.0,Rheinhessen,,,Riesling,Schmitt Söhne,Schmitt Söhne 2015 Riesling (Rheinhessen)
Italia,Terra Summa,82,12.0,Veneto,Piave,,Ensamblaje Tinto,Pizzolato,Pizzolato 2009 Terra Summa Red (Piave)
Estados Unidos,Russian Cuvée,92,38.0,California,Green Valley,Sonoma,Sparkling Blend,Iron Horse,Iron Horse 2009 Russian Cuvée Sparkling (Green Valley)
Francia,Les Charmes,92,125.0,Burgundy,Chambolle-Musigny,,Pinot Noir,Alex Gambal,Alex Gambal 2009 Les Charmes  (Chambolle-Musigny)
Estados Unidos,Estate Vineyard,87,25.0,California,Napa-Carneros,Napa,Chardonnay,Bouchaine,Bouchaine 2008 Estate Vineyard Chardonnay (Napa-Carneros)
España,Melior,86,17.0,Northern Spain,Ribera del Duero,,Tempranillo,Matarromera,Matarromera 2012 Melior  (Ribera del Duero)
Francia,Les Carbonnières,87,34.0,Rhône Valley,Gigondas,,Ensamblaje Tinto Tipo Rhône,Louis Bernard,Louis Bernard 2012 Les Carbonnières  (Gigondas)
Portugal,Late Bottled Vintage,88,21.0,Port,,,Port,Bulas,Bulas 2011 Late Bottled Vintage  (Port)
Francia,,84,25.0,Burgundy,Mâcon-Villages,,Chardonnay,Domaine Saumaize-Michelin,Domaine Saumaize-Michelin 2013  Mâcon-Villages
Portugal,Ponte das Canas Colheita,92,25.0,Alentejano,,,Portuguese Red,Mouchão,Mouchão 2009 Ponte das Canas Colheita Red (Alentejano)
Estados Unidos,Reserve,87,25.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,Airfield Estates,Airfield Estates 2014 Reserve Chardonnay (Yakima Valley)
Italia,Grillo-Sauvignon,86,15.0,Sicily & Sardinia,Terre Siciliane,,Ensamblaje Blanco,Barone Montalto,Barone Montalto 2013 Grillo-Sauvignon White (Terre Siciliane)
Estados Unidos,Artist Series,86,20.0,Texas,Texas,,Mourvèdre,Messina Hof,Messina Hof 2013 Artist Series Mourvèdre (Texas)
Estados Unidos,Bacigalupi Vineyard,93,50.0,California,Russian River Valley,Sonoma,Zinfandel,Williams Selyem,Williams Selyem 2010 Bacigalupi Vineyard Zinfandel (Russian River Valley)
Estados Unidos,Ruckus,84,10.0,California,California,California Other,Ensamblaje Blanco,Lost Angel,Lost Angel 2009 Ruckus White (California)
Estados Unidos,Samsel Vineyard/Maggie's Reserve,90,42.0,California,Sonoma Valley,Sonoma,Zinfandel,Rosenblum,Rosenblum 2001 Samsel Vineyard/Maggie's Reserve Zinfandel (Sonoma Valley)
Estados Unidos,Diavolo,82,37.0,New Mexico,New Mexico,,Ensamblaje Tinto,Vivác Winery,Vivác Winery 2007 Diavolo Red (New Mexico)
Estados Unidos,Gesture,90,30.0,California,Paso Robles,Central Coast,G-S-M,J. Lohr,J. Lohr 2014 Gesture G-S-M (Paso Robles)
Estados Unidos,Block 9 114,88,49.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winter's Hill,Winter's Hill 2015 Block 9 114 Pinot Noir (Dundee Hills)
Estados Unidos,,87,25.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Sextant,Sextant 2015 Cabernet Sauvignon (Paso Robles)
Estados Unidos,Bien Nacido Vineyard,92,46.0,California,Santa Barbara County,Central Coast,Syrah,Dilecta,Dilecta 2013 Bien Nacido Vineyard Syrah (Santa Barbara County)
Francia,Le Renard,85,23.0,Burgundy,Bourgogne,,Pinot Noir,Domaines Devillard,Domaines Devillard 2011 Le Renard  (Bourgogne)
Chile,Reserva,86,19.0,Valle del Cachapoal,,,Carmenère,Rios de Chile,Rios de Chile 2012 Reserva Carmenère (Cachapoal Valley)
Alemania,Medium-Dry,88,22.0,Nahe,,,Riesling,Schäfer-Fröhlich,Schäfer-Fröhlich 2007 Medium-Dry Riesling (Nahe)
Chile,Riscos de Puquillay Alto,85,17.0,Valle de Colchagua,,,Cabernet Sauvignon,Luis Felipe Edwards,Luis Felipe Edwards 2013 Riscos de Puquillay Alto Cabernet Sauvignon (Colchagua Valley)
Francia,Notre Dame des Champs,93,34.0,Southwest France,Cahors,,Malbec,Domaine de Cause,Domaine de Cause 2008 Notre Dame des Champs Malbec (Cahors)
Estados Unidos,Reserve,87,40.0,California,Central Coast,Central Coast,Cabernet Sauvignon,Clos La Chance,Clos La Chance 2009 Reserve Cabernet Sauvignon (Central Coast)
Chile,Reserva,83,10.0,Valle del Maipo,,,Sauvignon Blanc,Santa Alicia,Santa Alicia 2015 Reserva Sauvignon Blanc (Maipo Valley)
Francia,,88,12.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château les Ancres,Château les Ancres 2010  Bordeaux
Portugal,Estate,91,20.0,Douro,,,Portuguese Red,Quinta de la Rosa,Quinta de la Rosa 2014 Estate Red (Douro)
Argentina,,88,12.0,Otra,Famatina Valley,,Torrontés,Las Vides,Las Vides 2010 Torrontés (Famatina Valley)
Francia,Cuvée des Deux Papis,88,30.0,Burgundy,Bourgogne,,Pinot Noir,Alex Gambal,Alex Gambal 2011 Cuvée des Deux Papis  (Bourgogne)
Italia,Le Colombare,92,55.0,Veneto,Recioto di Soave,,Garganega,Pieropan,Pieropan 2004 Le Colombare  (Recioto di Soave)
Francia,,94,450.0,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Haut-Brion,Château Haut-Brion 2007  Pessac-Léognan
Estados Unidos,Traditions,86,13.0,Washington,Columbia Valley (WA),Columbia Valley,Rosé,Milbrandt,Milbrandt 2012 Traditions Rosé (Columbia Valley (WA))
Francia,,84,20.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Fayau,Château Fayau 2013  Bordeaux Blanc
Estados Unidos,To Kalon Vineyard Reserve,85,40.0,California,Oakville,Napa,Fumé Blanc,Robert Mondavi,Robert Mondavi 2006 To Kalon Vineyard Reserve Fumé Blanc (Oakville)
Australia,White Chocolate,84,17.0,South Australia,Barossa Valley,,Moscato,Chocolate Box,Chocolate Box 2010 White Chocolate Moscato (Barossa Valley)
Portugal,Herdade da Pimenta,90,18.0,Alentejano,,,Portuguese Red,Casa Agricola Alexandre Relvas,Casa Agricola Alexandre Relvas 2014 Herdade da Pimenta Red (Alentejano)
Austria,Austrian Plum,91,14.0,Niederösterreich,,,St. Laurent,The Dot,The Dot 2016 Austrian Plum St. Laurent (Niederösterreich)
Estados Unidos,Ingle Vineyard,90,25.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Heron Hill,Heron Hill 2012 Ingle Vineyard Pinot Noir (Finger Lakes)
Estados Unidos,,87,16.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Hawkins Cellars,Hawkins Cellars 2013 Pinot Gris (Willamette Valley)
Estados Unidos,Springline,86,19.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Blanco,Genoa,Genoa 2014 Springline White (Columbia Valley (WA))
Italia,Giunco,87,26.0,Sicily & Sardinia,Vermentino di Sardegna,,Vermentino,Mesa,Mesa 2011 Giunco  (Vermentino di Sardegna)
Italia,Fontanasanta Manzoni Bianco,89,30.0,Northeastern Italy,Vigneti delle Dolomiti,,Incrocio Manzoni,Foradori,Foradori 2013 Fontanasanta Manzoni Bianco Incrocio Manzoni (Vigneti delle Dolomiti)
Italia,Crocera,87,12.0,Piedmont,Barbera d'Asti Superiore,,Barbera,Il Cascinone,Il Cascinone 2015 Crocera  (Barbera d'Asti Superiore)
Estados Unidos,,85,20.0,California,Napa Valley,Napa,Cabernet Sauvignon,Martin Ray,Martin Ray 2005 Cabernet Sauvignon (Napa Valley)
Israel,French Blend,89,28.0,Galilee,,,Bordeaux-style Red Blend,Or Haganuz,Or Haganuz 2012 French Blend Red (Galilee)
Alemania,Semidry,89,15.0,Mosel,,,Riesling,Pflücken,Pflücken 2015 Semidry Riesling (Mosel)
Francia,Montmains Premier Cru,93,36.0,Burgundy,Chablis,,Chardonnay,Domaine Jean-Paul et Benoît Droin,Domaine Jean-Paul et Benoît Droin 2010 Montmains Premier Cru  (Chablis)
Francia,,90,28.0,Rhône Valley,Crozes-Hermitage,,Syrah,Vidal-Fleury,Vidal-Fleury 2013  Crozes-Hermitage
Estados Unidos,Rockpile Ridge,90,41.0,California,Rockpile,Sonoma,Zinfandel,Mauritson,Mauritson 2014 Rockpile Ridge Zinfandel (Rockpile)
Estados Unidos,Platinum,90,70.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sterling,Sterling 2012 Platinum Cabernet Sauvignon (Napa Valley)
Italia,Riserva,89,19.0,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,La Quercia,La Quercia 2012 Riserva  (Montepulciano d'Abruzzo)
Estados Unidos,Red Cedar Vineyard,86,14.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Clayhouse,Clayhouse 2012 Red Cedar Vineyard Cabernet Sauvignon (Paso Robles)
Estados Unidos,Melbury,94,150.0,California,Napa Valley,Napa,Ensamblaje Tinto,BOND,BOND 1999 Melbury Red (Napa Valley)
Estados Unidos,,84,10.0,California,California,California Other,Merlot,Forest Glen,Forest Glen 2000 Merlot (California)
Francia,,89,,Burgundy,Saint-Romain,,Chardonnay,Joseph Drouhin,Joseph Drouhin 2010  Saint-Romain
Estados Unidos,,86,29.0,California,Napa Valley,Napa,Chardonnay,Groth,Groth 2010 Chardonnay (Napa Valley)
Austria,Classic,88,20.0,Steiermark,,,Gelber Muskateller,Strauss,Strauss 2012 Classic Gelber Muskateller (Steiermark)
Estados Unidos,Morisoli Vineyard,91,125.0,California,Rutherford,Napa,Cabernet Sauvignon,Amici,Amici 2013 Morisoli Vineyard Cabernet Sauvignon (Rutherford)
Sudáfrica,Faithful Hound,90,22.0,Stellenbosch,,,Bordeaux-style Red Blend,Mulderbosch,Mulderbosch 2008 Faithful Hound Red (Stellenbosch)
Italia,,86,21.0,Southern Italy,Primitivo di Manduria,,Primitivo,Feudi di San Gregorio,Feudi di San Gregorio 2009  Primitivo di Manduria
Estados Unidos,Reserve,89,19.0,California,Russian River Valley,Sonoma,Chardonnay,River Road,River Road 2012 Reserve Chardonnay (Russian River Valley)
Francia,Pfaff Tradition,88,13.0,Alsace,Alsace,,Pinot Blanc,La Cave des Vignerons de Pfaffenheim,La Cave des Vignerons de Pfaffenheim 2014 Pfaff Tradition Pinot Blanc (Alsace)
Francia,Le Pavillon Rouge de Château Margaux Barrel sample,93,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Margaux,Château Margaux 2009 Le Pavillon Rouge de Château Margaux Barrel sample  (Margaux)
Francia,La Mascaronne,90,24.0,Provence,Côtes de Provence,,Rosé,Château la Mascaronne,Château la Mascaronne 2012 La Mascaronne Rosé (Côtes de Provence)
Alemania,Pinot Meunier,85,,Rheinhessen,,,Rosé,Blümel,Blümel 2013 Pinot Meunier Rosé (Rheinhessen)
Estados Unidos,Orange Label,87,59.0,California,Russian River Valley,Sonoma,Pinot Noir,Roadhouse Winery,Roadhouse Winery 2014 Orange Label Pinot Noir (Russian River Valley)
Argentina,,83,13.0,Mendoza,Mendoza,,Chardonnay,Alamos,Alamos 2001 Chardonnay (Mendoza)
Estados Unidos,Estate,84,50.0,California,Anderson Valley,,Pinot Noir,Toulouse,Toulouse 2010 Estate Pinot Noir (Anderson Valley)
Estados Unidos,Benito Dusi Ranch,91,30.0,California,Paso Robles,Central Coast,Zinfandel,Ridge,Ridge 2009 Benito Dusi Ranch Zinfandel (Paso Robles)
Estados Unidos,,89,22.0,Washington,Horse Heaven Hills,Columbia Valley,Roussanne,Syncline,Syncline 2008 Roussanne (Horse Heaven Hills)
Canadá,Oak Aged Ice Wine,89,80.0,Ontario,Niagara Peninsula,,Vidal Blanc,Inniskillin,Inniskillin 1997 Oak Aged Ice Wine Vidal Blanc (Niagara Peninsula)
Estados Unidos,Ellie's Old Vine Vineyard,86,32.0,California,Dry Creek Valley,Sonoma,Zinfandel,Wilson,Wilson 2007 Ellie's Old Vine Vineyard Zinfandel (Dry Creek Valley)
España,QP,94,68.0,Northern Spain,Rioja,,Tempranillo Ensamblaje,Maetierra Dominum,Maetierra Dominum 2009 QP  (Rioja)
Estados Unidos,Bacchus Vineyard,90,28.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Barrister,Barrister 2009 Bacchus Vineyard Syrah (Columbia Valley (WA))
Estados Unidos,Doctor's Cuvée Estate Grown,93,125.0,California,Calistoga,Napa,Cabernet Sauvignon,Kenefick Ranch,Kenefick Ranch 2012 Doctor's Cuvée Estate Grown Cabernet Sauvignon (Calistoga)
España,Aliguer Brut Vintage,87,16.0,Catalonia,Cava,,Sparkling Blend,Agustí Torelló Mata,Agustí Torelló Mata 2009 Aliguer Brut Vintage Sparkling (Cava)
Chipre,Agios Onoufrios,87,18.0,Kathikas,,,Ensamblaje Tinto,Kathikac,Kathikac 2007 Agios Onoufrios Red (Kathikas)
Austria,Spätlese,87,21.0,Burgenland,,,Traminer,Gunter Triebaumer,Gunter Triebaumer 2006 Spätlese Traminer (Burgenland)
Estados Unidos,Red No. 249,87,17.0,California,North Coast,North Coast,Ensamblaje Tinto,Chloe,Chloe 2012 Red No. 249 Red (North Coast)
Argentina,,83,12.0,Mendoza,Mendoza,,Chardonnay,Zorzal,Zorzal 2009 Chardonnay (Mendoza)
Italia,Riserva,92,80.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Altesino,Altesino 2006 Riserva  (Brunello di Montalcino)
España,Reserva,87,19.0,Northern Spain,Rioja,,Tempranillo,Viña Eguía,Viña Eguía 2009 Reserva  (Rioja)
Estados Unidos,Benito Dusi Ranch,90,30.0,California,Paso Robles,Central Coast,Zinfandel,Ridge,Ridge 2010 Benito Dusi Ranch Zinfandel (Paso Robles)
Francia,Le Cèdre,94,55.0,Southwest France,Cahors,,Malbec,Château du Cèdre,Château du Cèdre 2013 Le Cèdre Malbec (Cahors)
Francia,Eichberg Grand Cru,87,48.0,Alsace,Alsace,,Riesling,Domaine Zinck,Domaine Zinck 2014 Eichberg Grand Cru Riesling (Alsace)
Líbano,Altitudes,89,25.0,Lebanon,,,Ensamblaje Blanco,Ixsir,Ixsir 2013 Altitudes White (Lebanon)
Estados Unidos,,88,20.0,California,Napa County,Napa,Cabernet Sauvignon,Joseph Carr,Joseph Carr 2013 Cabernet Sauvignon (Napa County)
Italia,,93,75.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Il Paradiso di Frassina,Il Paradiso di Frassina 2007  Brunello di Montalcino
Estados Unidos,The McNab,92,55.0,California,Mendocino,,Bordeaux-style Red Blend,Bonterra,Bonterra 2013 The McNab Red (Mendocino)
Italia,,89,40.0,Tuscany,Brunello di Montalcino,,Sangiovese,Podere Paganico,Podere Paganico 2010  Brunello di Montalcino
Estados Unidos,River Ranches,88,22.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Geyser Peak,Geyser Peak 2014 River Ranches Sauvignon Blanc (Russian River Valley)
Francia,Barrel sample,89,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Dassault,Château Dassault 2006 Barrel sample  (Saint-Émilion)
Francia,Brut Réserve,88,33.0,Champagne,Champagne,,Champagne Ensamblaje,Monthuys Père et Fils,Monthuys Père et Fils NV Brut Réserve  (Champagne)
